"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03622V04362","Country","C02293V02763","Direction","UNIT","VALUE"
"ASA03","Air and Sea Travel","2011","2011","CH","Switzerland","1","Arrivals","Thousand","145.4"
"ASA03","Air and Sea Travel","2011","2011","CH","Switzerland","2","Departures","Thousand","144.6"
"ASA03","Air and Sea Travel","2011","2011","CY","Cyprus","1","Arrivals","Thousand","6.4"
"ASA03","Air and Sea Travel","2011","2011","CY","Cyprus","2","Departures","Thousand","6.4"
"ASA03","Air and Sea Travel","2011","2011","CZ","Czech Republic","1","Arrivals","Thousand","43.2"
"ASA03","Air and Sea Travel","2011","2011","CZ","Czech Republic","2","Departures","Thousand","43.3"
"ASA03","Air and Sea Travel","2011","2011","DE","Germany","1","Arrivals","Thousand","686"
"ASA03","Air and Sea Travel","2011","2011","DE","Germany","2","Departures","Thousand","685.2"
"ASA03","Air and Sea Travel","2011","2011","DK","Denmark","1","Arrivals","Thousand","100.4"
"ASA03","Air and Sea Travel","2011","2011","DK","Denmark","2","Departures","Thousand","99.5"
"ASA03","Air and Sea Travel","2011","2011","EE","Estonia","1","Arrivals","Thousand","23.6"
"ASA03","Air and Sea Travel","2011","2011","EE","Estonia","2","Departures","Thousand","24.5"
"ASA03","Air and Sea Travel","2011","2011","ES","Spain","1","Arrivals","Thousand","1430.6"
"ASA03","Air and Sea Travel","2011","2011","ES","Spain","2","Departures","Thousand","1434.2"
"ASA03","Air and Sea Travel","2011","2011","FI","Finland","1","Arrivals","Thousand","10.4"
"ASA03","Air and Sea Travel","2011","2011","FI","Finland","2","Departures","Thousand","9.9"
"ASA03","Air and Sea Travel","2011","2011","FR","France","1","Arrivals","Thousand","915.1"
"ASA03","Air and Sea Travel","2011","2011","FR","France","2","Departures","Thousand","916.5"
"ASA03","Air and Sea Travel","2011","2011","GB99","Other UK (1)","1","Arrivals","Thousand","27.9"
"ASA03","Air and Sea Travel","2011","2011","GB99","Other UK (1)","2","Departures","Thousand","28.2"
"ASA03","Air and Sea Travel","2011","2011","GR","Greece","1","Arrivals","Thousand","28.2"
"ASA03","Air and Sea Travel","2011","2011","GR","Greece","2","Departures","Thousand","28.6"
"ASA03","Air and Sea Travel","2011","2011","HR","Croatia","1","Arrivals","Thousand","34"
"ASA03","Air and Sea Travel","2011","2011","HR","Croatia","2","Departures","Thousand","33.3"
"ASA03","Air and Sea Travel","2011","2011","HU","Hungary","1","Arrivals","Thousand","87.1"
"ASA03","Air and Sea Travel","2011","2011","HU","Hungary","2","Departures","Thousand","85.9"
"ASA03","Air and Sea Travel","2011","2011","IS","Iceland","1","Arrivals","Thousand","1.4"
"ASA03","Air and Sea Travel","2011","2011","IS","Iceland","2","Departures","Thousand","1.4"
"ASA03","Air and Sea Travel","2011","2011","IT","Italy","1","Arrivals","Thousand","455"
"ASA03","Air and Sea Travel","2011","2011","IT","Italy","2","Departures","Thousand","447.2"
"ASA03","Air and Sea Travel","2011","2011","LT","Lithuania","1","Arrivals","Thousand","93"
"ASA03","Air and Sea Travel","2011","2011","LT","Lithuania","2","Departures","Thousand","90.6"
"ASA03","Air and Sea Travel","2011","2011","LU","Luxembourg","1","Arrivals","Thousand","5.8"
"ASA03","Air and Sea Travel","2011","2011","LU","Luxembourg","2","Departures","Thousand","6.1"
"ASA03","Air and Sea Travel","2011","2011","LV","Latvia","1","Arrivals","Thousand","60.8"
"ASA03","Air and Sea Travel","2011","2011","LV","Latvia","2","Departures","Thousand","61.7"
"ASA03","Air and Sea Travel","2011","2011","MT","Malta","1","Arrivals","Thousand","27.5"
"ASA03","Air and Sea Travel","2011","2011","MT","Malta","2","Departures","Thousand","27.7"
"ASA03","Air and Sea Travel","2011","2011","NL","Netherlands","1","Arrivals","Thousand","371.9"
"ASA03","Air and Sea Travel","2011","2011","NL","Netherlands","2","Departures","Thousand","374.7"
"ASA03","Air and Sea Travel","2011","2011","NO","Norway","1","Arrivals","Thousand","77.4"
"ASA03","Air and Sea Travel","2011","2011","NO","Norway","2","Departures","Thousand","79.9"
"ASA03","Air and Sea Travel","2011","2011","PL","Poland","1","Arrivals","Thousand","474.2"
"ASA03","Air and Sea Travel","2011","2011","PL","Poland","2","Departures","Thousand","474.8"
"ASA03","Air and Sea Travel","2011","2011","PT","Portugal","1","Arrivals","Thousand","298.7"
"ASA03","Air and Sea Travel","2011","2011","PT","Portugal","2","Departures","Thousand","299.4"
"ASA03","Air and Sea Travel","2011","2011","QA","Qatar","1","Arrivals","Thousand","0"
"ASA03","Air and Sea Travel","2011","2011","QA","Qatar","2","Departures","Thousand","0"
"ASA03","Air and Sea Travel","2011","2011","RO","Romania","1","Arrivals","Thousand","38.3"
"ASA03","Air and Sea Travel","2011","2011","RO","Romania","2","Departures","Thousand","36.7"
"ASA03","Air and Sea Travel","2011","2011","SE","Sweden","1","Arrivals","Thousand","62"
"ASA03","Air and Sea Travel","2011","2011","SE","Sweden","2","Departures","Thousand","61.8"
"ASA03","Air and Sea Travel","2011","2011","SI","Slovenia","1","Arrivals","Thousand","0.9"
"ASA03","Air and Sea Travel","2011","2011","SI","Slovenia","2","Departures","Thousand","1"
"ASA03","Air and Sea Travel","2011","2011","SK","Slovakia","1","Arrivals","Thousand","44.8"
"ASA03","Air and Sea Travel","2011","2011","SK","Slovakia","2","Departures","Thousand","44.2"
"ASA03","Air and Sea Travel","2011","2011","TR","Turkey","1","Arrivals","Thousand","101.2"
"ASA03","Air and Sea Travel","2011","2011","TR","Turkey","2","Departures","Thousand","100.9"
"ASA03","Air and Sea Travel","2011","2011","US","United States","1","Arrivals","Thousand","882.9"
"ASA03","Air and Sea Travel","2011","2011","US","United States","2","Departures","Thousand","900.2"
"ASA03","Air and Sea Travel","2011","2011","XB","Great Britain","1","Arrivals","Thousand","6074.6"
"ASA03","Air and Sea Travel","2011","2011","XB","Great Britain","2","Departures","Thousand","6119.3"
"ASA03","Air and Sea Travel","2011","2011","ZZEUBQAC","Other Europe (33)","1","Arrivals","Thousand","5.3"
"ASA03","Air and Sea Travel","2011","2011","ZZEUBQAC","Other Europe (33)","2","Departures","Thousand","4.7"
"ASA03","Air and Sea Travel","2011","2011","ZZZ11","Other Countries(43)","1","Arrivals","Thousand","16.1"
"ASA03","Air and Sea Travel","2011","2011","ZZZ11","Other Countries(43)","2","Departures","Thousand","16.3"
"ASA03","Air and Sea Travel","2011","2011","ZZZ13","Other transatlantic countries(2)","1","Arrivals","Thousand","0.7"
"ASA03","Air and Sea Travel","2011","2011","ZZZ13","Other transatlantic countries(2)","2","Departures","Thousand","0.7"
"ASA03","Air and Sea Travel","2012","2012","-","All countries","1","Arrivals","Thousand","13142"
"ASA03","Air and Sea Travel","2012","2012","-","All countries","2","Departures","Thousand","13161.6"
"ASA03","Air and Sea Travel","2012","2012","AE","United Arab Emirates","1","Arrivals","Thousand","216.9"
"ASA03","Air and Sea Travel","2012","2012","AE","United Arab Emirates","2","Departures","Thousand","224"
"ASA03","Air and Sea Travel","2012","2012","AT","Austria","1","Arrivals","Thousand","61.7"
"ASA03","Air and Sea Travel","2012","2012","AT","Austria","2","Departures","Thousand","63"
"ASA03","Air and Sea Travel","2012","2012","BE","Belgium","1","Arrivals","Thousand","183.4"
"ASA03","Air and Sea Travel","2012","2012","BE","Belgium","2","Departures","Thousand","183.5"
"ASA03","Air and Sea Travel","2012","2012","BG","Bulgaria","1","Arrivals","Thousand","16.4"
"ASA03","Air and Sea Travel","2012","2012","BG","Bulgaria","2","Departures","Thousand","16.3"
"ASA03","Air and Sea Travel","2012","2012","CA","Canada","1","Arrivals","Thousand","58.4"
"ASA03","Air and Sea Travel","2012","2012","CA","Canada","2","Departures","Thousand","59.2"
"ASA03","Air and Sea Travel","2012","2012","CH","Switzerland","1","Arrivals","Thousand","158.1"
"ASA03","Air and Sea Travel","2012","2012","CH","Switzerland","2","Departures","Thousand","157.9"
"ASA03","Air and Sea Travel","2012","2012","CY","Cyprus","1","Arrivals","Thousand","3.7"
"ASA03","Air and Sea Travel","2012","2012","CY","Cyprus","2","Departures","Thousand","3.7"
"ASA03","Air and Sea Travel","2012","2012","CZ","Czech Republic","1","Arrivals","Thousand","51"
"ASA03","Air and Sea Travel","2012","2012","CZ","Czech Republic","2","Departures","Thousand","51.1"
"ASA03","Air and Sea Travel","2012","2012","DE","Germany","1","Arrivals","Thousand","722.1"
"ASA03","Air and Sea Travel","2012","2012","DE","Germany","2","Departures","Thousand","718.1"
"ASA03","Air and Sea Travel","2012","2012","DK","Denmark","1","Arrivals","Thousand","100.2"
